datetime,open,high,low,close,volume,symbol
2025-07-30 15:55:00,208.72000,209.12,208.4,209.020004,1930941,AAPL
2025-07-30 15:50:00,208.41000,208.81,208.39000,208.73000,614088,AAPL
2025-07-30 15:45:00,208.17000,208.59000,208.14999,208.39999,423572,AAPL
2025-07-30 15:40:00,208.28999,208.67000,208.13,208.16000,410851,AAPL
2025-07-30 15:35:00,208.64000,208.74001,208.25999,208.30000,380720,AAPL
2025-07-30 15:30:00,208.50999,208.83000,208.5,208.64000,451796,AAPL
2025-07-30 15:25:00,208.28000,208.53999,208.28000,208.52000,354111,AAPL
2025-07-30 15:20:00,208.39000,208.71001,208.27,208.28999,431701,AAPL
2025-07-30 15:15:00,208.28500,208.53040,208.14999,208.42999,524263,AAPL
2025-07-30 15:10:00,208.070007,208.53000,207.92999,208.28000,475030,AAPL
2025-07-30 15:05:00,207.97000,208.12920,207.71,208.070007,507487,AAPL
2025-07-30 15:00:00,208.31000,208.325,207.87000,207.97560,743984,AAPL
2025-07-30 14:55:00,208.83000,208.94000,208.3,208.35001,617198,AAPL
2025-07-30 14:50:00,209.32001,209.325,208.73000,208.84000,730853,AAPL
2025-07-30 14:45:00,209.79500,209.80499,209.25999,209.32001,417648,AAPL
2025-07-30 14:40:00,209.62970,209.87,209.36011,209.80000,345924,AAPL
2025-07-30 14:35:00,210.065002,210.11000,209.53999,209.625,404832,AAPL
2025-07-30 14:30:00,209.85500,210.14,209.81000,210.065002,349361,AAPL
2025-07-30 14:25:00,209.625,209.87981,209.625,209.85500,239193,AAPL
2025-07-30 14:20:00,209.58501,209.73990,209.51010,209.625,236934,AAPL
2025-07-30 14:15:00,209.55020,209.66000,209.48000,209.58501,235080,AAPL
2025-07-30 14:10:00,209.72501,209.87981,209.5,209.55000,249896,AAPL
2025-07-30 14:05:00,209.85500,209.96001,209.63000,209.72000,229478,AAPL
2025-07-30 14:00:00,209.94000,210.035004,209.67,209.83000,790494,AAPL
2025-07-30 13:55:00,209.95000,210.06,209.84000,209.89500,177409,AAPL
2025-07-30 13:50:00,209.81500,209.97000,209.78000,209.94000,193837,AAPL
2025-07-30 13:45:00,210.089996,210.089996,209.74500,209.82001,245994,AAPL
2025-07-30 13:40:00,209.99001,210.14990,209.98000,210.080002,209168,AAPL
2025-07-30 13:35:00,209.85001,210.02,209.83250,209.99001,213215,AAPL
2025-07-30 13:30:00,209.75,209.89,209.72,209.88499,191391,AAPL
