datetime_1hour,open,high,low,close,total_volume
"2025-07-17 11:00:00",210.215,513.0,172.77,172.935,36353149
"2025-07-17 12:00:00",211.1501,513.37,173.27,173.3987,37064971
"2025-07-17 13:00:00",211.245,513.0,173.08,173.61,32957009
"2025-07-17 14:00:00",210.96001,512.91748,173.090103,173.285,26729176
"2025-07-17 15:00:00",210.47,512.60217,173.0099945,173.545,48166144
"2025-07-18 09:00:00",210.21001,514.64001,173.24,173.86301,76147032
"2025-07-18 10:00:00",210.67999,512.28998,171.8,173.17,63291098
"2025-07-18 11:00:00",210.96001,510.775,171.25999,171.425,39555961
"2025-07-18 12:00:00",211.31,509.89001,171.8,172.4599,30929047
"2025-07-18 13:00:00",211.059998,511.17999,172.0,172.10001,25944766
"2025-07-18 14:00:00",210.86549,511.8,171.98,172.39,26844327
"2025-07-18 15:00:00",211.020004,511.95999,171.82,172.00030518,45478156
"2025-07-21 09:00:00",214.75,512.09,171.67999,172.023102,69361040
"2025-07-21 10:00:00",213.36,512.070007,172.089996,172.27499,52392894
"2025-07-21 11:00:00",213.48981,510.85001,172.23,172.9433,33088729
"2025-07-21 12:00:00",213.77521,511.3699,171.45,172.405,31365009
"2025-07-21 13:00:00",213.12,511.05,172.2,172.515,20484352
"2025-07-21 14:00:00",213.11,510.5878,172.18469,172.505,21194982
"2025-07-21 15:00:00",212.2,510.8,171.059998,172.2,41908249
"2025-07-22 09:00:00",212.59,511.20001,164.58,168.78999,82044488
"2025-07-22 10:00:00",212.97009,509.5892,165.37,165.98,68083890
"2025-07-22 11:00:00",212.98331,509.31,167.63,167.87,42244258
"2025-07-22 12:00:00",213.44,507.72501,167.35001,168.2,35467606
"2025-07-22 13:00:00",214.029999,507.74,167.735,168.12151,25657261
"2025-07-22 14:00:00",214.059998,506.90961,167.36011,167.875,31159699
"2025-07-22 15:00:00",214.33,506.41,166.7,167.94501,47413179
"2025-07-23 09:00:00",212.86,506.79,168.23,169.98,63795967
"2025-07-23 10:00:00",212.8,503.089996,167.97,168.69,50409060
"2025-07-23 11:00:00",213.57001,505.5,168.96001,169.495,36362808
"2025-07-23 12:00:00",213.5125,504.68991,168.53,169.3376,27884710
"2025-07-23 13:00:00",214.52,505.29901,168.83,169.215,30876035
"2025-07-23 14:00:00",214.5,505.75,169.74,170.21001,42195999
"2025-07-23 15:00:00",214.089996,506.08,170.1707,170.63,48307037
"2025-07-24 09:00:00",213.69501,510.535,171.71001,173.014999,101580168
