datetime_1hour,open,high,low,close,total_volume
"2025-07-10 12:00:00",212.020004,500.61,162.57001,162.92999,28518434
"2025-07-10 13:00:00",212.57001,501.80991,163.2,163.315,33755944
"2025-07-10 14:00:00",213.024994,502.029999,163.64999,164.039902,34992571
"2025-07-10 15:00:00",212.52,502.185,163.73,163.83,54191023
"2025-07-11 09:00:00",210.69,501.13,163.52,164.97,59832094
"2025-07-11 10:00:00",210.9166,502.39001,165.715,165.8777,69115981
"2025-07-11 11:00:00",210.55,504.03,166.11,166.83521,51456356
"2025-07-11 12:00:00",210.89999,505.029999,165.92999,166.21989,31670109
"2025-07-11 13:00:00",211.1196,504.92999,165.64,166.3701,26467764
"2025-07-11 14:00:00",211.14999,504.62,165.35,165.9315,31106345
"2025-07-11 15:00:00",211.3,504.079987,164.83,165.28999,51725480
"2025-07-14 09:00:00",208.345,502.89001,162.02,163.9393,72318596
"2025-07-14 10:00:00",208.5294,502.92001,163.1001,163.52,50568024
"2025-07-14 11:00:00",208.8907,503.97,164.22501,164.98,37348557
"2025-07-14 12:00:00",209.029999,503.4,164.57001,164.91,22237671
"2025-07-14 13:00:00",209.17931,503.070007,164.78979,165.035004,23495760
"2025-07-14 14:00:00",209.3848,503.33,164.49,164.825,20625165
"2025-07-14 15:00:00",208.63,503.48,164.0,164.88,41480071
"2025-07-15 09:00:00",209.8,505.64999,169.19,170.5058,101378637
"2025-07-15 10:00:00",209.38,506.29001,169.47,169.92999,74260294
"2025-07-15 11:00:00",211.014999,507.39001,170.68469,170.86501,41473009
"2025-07-15 12:00:00",210.7,507.7399,170.37,171.27,29428997
"2025-07-15 13:00:00",211.28,508.2,170.25,170.88,25427002
"2025-07-15 14:00:00",210.64999,508.3,170.24,170.96001,29457200
"2025-07-15 15:00:00",209.71001,507.10001,169.94,170.5807,53435494
"2025-07-16 09:00:00",210.42999,505.5,169.92,170.84,63976953
"2025-07-16 10:00:00",210.72,505.02,169.2877,170.33,64403073
"2025-07-16 11:00:00",209.77,505.5,168.89999,170.085007,59470509
"2025-07-16 12:00:00",210.16901,505.06,170.089996,170.27,29577432
"2025-07-16 13:00:00",210.25999,505.85,170.6241,171.295,24191671
"2025-07-16 14:00:00",210.25999,506.19699,170.64,170.78149,23266781
"2025-07-16 15:00:00",210.059998,506.72,170.675,170.935,46445236
"2025-07-17 09:00:00",210.17979,510.26999,170.83,171.125,67427436
"2025-07-17 10:00:00",210.235,511.48001,172.53,173.065201,51472132
